id,author_id,created_at,retweet_count,like_count,location,author_follower_count,text,topic,sentiment
1.46E+18,7.53E+17,Wed Nov 17 23:59:21 +0000 2021,5,16,"Edmonton, Alberta",57,"So I've been tracking the Vaccine outcomes data from Alberta since Sept 8th.  As of Nov 16th, 51.67% of deaths have been people who received atleast 1 dose and diagnosed &gt;14 days post vaccination. 48.33% unvaccinated.",v,negative
1.46E+18,2366080716,Wed Nov 17 23:54:24 +0000 2021,0,0,Edmonton Alberta Canada,2291,Ottawa nixing molecular COVID test requirement for Canadians taking short trips abroad: sources | CBC News ,t,neutral
1.46E+18,14857998,Wed Nov 17 23:54:23 +0000 2021,0,0,"Calgary, Alberta",992,‘Low probability’ of COVID virus spreading among deer: Alberta Environment &amp; Parks ,u,negative
1.46E+18,2366080716,Wed Nov 17 23:53:56 +0000 2021,0,0,Edmonton Alberta Canada,2291,"Alberta reports 412 new cases of COVID-19, 3 new deaths | CBC News ",c,neutral
1.46E+18,3061939789,Wed Nov 17 23:53:40 +0000 2021,0,0,"Calgary, Alberta",37,"The Sens have a 100% vaccination rate, and 40% of the team has tested positive for COVID-19 - Editors' Picks ",v,negative
1.46E+18,90949148,Wed Nov 17 23:52:51 +0000 2021,0,1,"Edmonton, Alberta",8134,"@duncankinney ""the province reported 18 more deaths for a total of 1,046 deaths""  ",c,neutral
1.46E+18,1.24E+18,Wed Nov 17 23:51:36 +0000 2021,0,0,"Calgary, Alberta",439,Alberta reports over 400 COVID-19 cases and 3 additional   ,c,neutral
1.46E+18,262780603,Wed Nov 17 23:51:35 +0000 2021,0,0,"Red Deer, Alberta",9409,Province extending COVID supports in homeless &amp; women’s shelters  ,c,positive
1.46E+18,8.02E+17,Wed Nov 17 23:49:45 +0000 2021,0,22,Sundre Alberta,490,@jkenney @AdrianaLaGrange Absolutely ridiculous statement - no one including school boards is - or ever has- suggested that vaccines for children will be mandatory quite in-sighting division-where there is none- your misleading and inaccurate information has got us to where we are in Regards to the COVID.,a,negative
1.46E+18,9.70E+17,Wed Nov 17 23:47:44 +0000 2021,27,144,"Calgary, Alberta",17476,Former View Co-Host Cut Off When She Stated Basic Facts Regarding Covid Bio-Weapon  via @BitChute The View is clearly A DARK CULT AGENDA MACHINE...,a,negative
