id	author_id	created_at	retweet_count	like_count	location	author_follower_count	text
1460759564312215553	2411529956	Tue Nov 16 23:59:54 +0000 2021	1	10	Calgary, AB	3422	Don't worry. Pfizer has a cure for that too 🤷‍♀️   Pfizer is making bank 🤑🤑 
1460759536298385408	218307926	Tue Nov 16 23:59:47 +0000 2021	0	1	edmonton	23	@BigGuy04665508 @PThomas19 @ElBaz13 @Sportsnet Drs in Alberta have filed a law suit against mandatory 💉and thousands of nurses walked off because they don’t want the vaccine. So do you pick and choose your medical professionals to fit your facts?
1460759535937748993	131708727	Tue Nov 16 23:59:47 +0000 2021	0	0	Calgary, Alberta	48	@JoeBail94126982 @slbernard1 @lindsaycaplan6 And the tetanus shot is RECOMMENDED not mandated every 10 years and not 5. My point is all current Covid vaccines are much more like the flu vaccine than any other one people like to compare. 
1460759239681622020	55454491	Tue Nov 16 23:58:36 +0000 2021	3	13	Regina, Saskatchewan	724	@RealTenille I am so tired of Merriman being quoted as saying “it is unfortunate…” (fill in the blank) like he has no responsibility in what has gone on for this family, the Covid response, etc.
1460758402561458180	14857998	Tue Nov 16 23:55:17 +0000 2021	0	0	Calgary, Alberta	992	Vast majority of City of Lethbridge employees fully immunized against COVID-19 
1460758163372724224	88937573	Tue Nov 16 23:54:20 +0000 2021	7	42	Devon	348	@KatieM12121 I've, for many years, been sceptical about big pharmaceutical ethics - but clearly not sceptical enough. The level of dishonesty and deceipt from Pfizer is shocking @malcolmken
1460758010339287041	816260792098000896	Tue Nov 16 23:53:43 +0000 2021	0	0	Calgary	154	Just thought I would send this out again. FREE! visits (6) to the Flying squirrel trampoline park in Calgary. Hoping to get a taker soon. They do ask to see vaccination. 
1460757745020203011	407395156	Tue Nov 16 23:52:40 +0000 2021	19	78	Edmonton Canada	73832	"Yep x 1000.  ""...the politicization of the Covid-19 response threatens the country’s ability to withstand future health emergencies, even at a time of great scientific progress.""   by @DrewQJoseph via @statnews"
1460757701168824321	322874107	Tue Nov 16 23:52:30 +0000 2021	0	1	Edmonton Alberta Canada	3761	@Myberns1 Not anymore. We have the vaccine, the science is real and their choice now.
1460757607245762561	16166625	Tue Nov 16 23:52:07 +0000 2021	0	1	Edmonton, AB	775	@alanranta It feels weird to frame this as a COVID restrictions/capacity thing. I guess “there are no working roads, don’t travel” is technically a restriction, but this phrasing just seems like it’ll make certain people mad unnecessarily.
1460757430774767616	1055599083128147969	Tue Nov 16 23:51:25 +0000 2021	0	0	Edmonton, Alberta	47	@WithASharingan @wayxfrancis04 @MattBrooksNBA Wait that live was “clear” to you 💀??? “I dont take the vaccine bevause people loose there jobs”. Clear would be = im not playing this season trade me. Rn novody knows if he will take it or some
1460757253045301250	1099774544	Tue Nov 16 23:50:43 +0000 2021	0	0	Edmonton, Alberta	4115	Alberta reports 321 new COVID-19 cases, 13 additional deaths 
1460757192731074562	24782816	Tue Nov 16 23:50:28 +0000 2021	0	6	Calgary, Alberta	5304	@LarryHenzel @lamphieryeg Please. The vaccine does not prevent transmission. It is a therapeutic. It is a very good therapetutic, but it is not a sterilizing vaccine.
1460757170618716162	1213025170224345088	Tue Nov 16 23:50:23 +0000 2021	0	1	Saskatoon SK, Canada	110	@PremierScottMoe @MerrimanPaul and their idol @jkenney do not want to impose stricter measures to control the spread of #COVID19 They claim it would disproportionately impact vaccinated people Here is what we think of their inaction   #covid19sk #covid19ab
